[21:18:41] [INFO] received Windows console close event; shutting log-core down
[21:20:16] [INFO] received Windows console close event; shutting log-core down
[22:56:10] [INFO] received Windows console close event; shutting log-core down
[22:56:49] [INFO] received Windows console close event; shutting log-core down
[23:00:56] [INFO] received Windows console close event; shutting log-core down
[23:13:28] [INFO] received Windows console close event; shutting log-core down
[23:16:55] [INFO] received Windows console close event; shutting log-core down
[23:22:17] [INFO] received Windows console close event; shutting log-core down
[23:24:45] [INFO] received Windows console close event; shutting log-core down
[23:26:17] [INFO] received Windows console close event; shutting log-core down
[11:07:17] [INFO] received Windows console close event; shutting log-core down
[18:25:20] [INFO] received Windows console close event; shutting log-core down
[18:27:02] [INFO] received Windows console close event; shutting log-core down
[18:56:19] [INFO] received Windows console close event; shutting log-core down
[19:11:55] [INFO] received Windows console close event; shutting log-core down
[19:15:05] [INFO] received Windows console close event; shutting log-core down
[19:16:43] [INFO] received Windows console close event; shutting log-core down
[19:20:37] [INFO] received Windows console close event; shutting log-core down
[19:21:56] [INFO] received Windows console close event; shutting log-core down
[19:27:19] [INFO] received Windows console close event; shutting log-core down
[19:28:37] [INFO] received Windows console close event; shutting log-core down
[19:31:32] [INFO] received Windows console close event; shutting log-core down
[19:42:14] [INFO] received Windows console close event; shutting log-core down
[21:44:30] [INFO] received Windows console close event; shutting log-core down
[21:49:15] [INFO] received Windows console close event; shutting log-core down
[21:56:44] [INFO] received Windows console close event; shutting log-core down
[21:59:39] [INFO] received Windows console close event; shutting log-core down
[22:42:28] [INFO] received Windows console close event; shutting log-core down
[23:29:05] [INFO] received Windows console close event; shutting log-core down
[11:37:44] [INFO] received Windows console close event; shutting log-core down
[11:37:56] [INFO] received Windows console close event; shutting log-core down
[11:39:02] [INFO] received Windows console close event; shutting log-core down
[11:40:01] [INFO] received Windows console close event; shutting log-core down
[11:44:27] [INFO] received Windows console close event; shutting log-core down
[11:47:47] [INFO] received Windows console close event; shutting log-core down
[11:52:29] [INFO] received Windows console close event; shutting log-core down
[21:25:32] [INFO] received Windows console close event; shutting log-core down
[21:31:21] [INFO] received Windows console close event; shutting log-core down
[21:33:53] [INFO] received Windows console close event; shutting log-core down
[21:46:05] [INFO] received Windows console close event; shutting log-core down
[21:50:50] [INFO] received Windows console close event; shutting log-core down
[21:58:35] [INFO] received Windows console close event; shutting log-core down
[22:03:41] [INFO] received Windows console close event; shutting log-core down
[22:06:32] [INFO] received Windows console close event; shutting log-core down
[22:23:54] [INFO] received Windows console close event; shutting log-core down
[22:27:57] [INFO] received Windows console close event; shutting log-core down
[10:35:14] [INFO] received Windows console close event; shutting log-core down
[10:36:42] [INFO] received Windows console close event; shutting log-core down
[10:44:55] [INFO] received Windows console close event; shutting log-core down
[10:48:31] [INFO] received Windows console close event; shutting log-core down
[10:53:52] [INFO] received Windows console close event; shutting log-core down
[11:03:17] [INFO] received Windows console close event; shutting log-core down
[11:17:53] [INFO] received Windows console close event; shutting log-core down
[11:21:49] [INFO] received Windows console close event; shutting log-core down
[11:26:18] [INFO] received Windows console close event; shutting log-core down
[11:30:30] [INFO] received Windows console close event; shutting log-core down
[11:31:41] [INFO] received Windows console close event; shutting log-core down
[11:35:12] [INFO] received Windows console close event; shutting log-core down
[11:10:08] [INFO] received Windows console close event; shutting log-core down
[11:14:24] [INFO] received Windows console close event; shutting log-core down
[11:16:12] [INFO] received Windows console close event; shutting log-core down
[11:26:46] [INFO] received Windows console close event; shutting log-core down
[11:28:45] [INFO] received Windows console close event; shutting log-core down
[11:32:03] [INFO] received Windows console close event; shutting log-core down
[11:33:51] [INFO] received Windows console close event; shutting log-core down
[11:35:24] [INFO] received Windows console close event; shutting log-core down
[11:38:25] [INFO] received Windows console close event; shutting log-core down
[11:41:00] [INFO] received Windows console close event; shutting log-core down
[11:43:24] [INFO] received Windows console close event; shutting log-core down
[11:45:38] [INFO] received Windows console close event; shutting log-core down
[11:53:52] [INFO] received Windows console close event; shutting log-core down
[11:57:00] [INFO] received Windows console close event; shutting log-core down
[12:07:52] [INFO] received Windows console close event; shutting log-core down
[12:10:50] [INFO] received Windows console close event; shutting log-core down
[12:14:22] [INFO] received Windows console close event; shutting log-core down
[12:19:39] [INFO] received Windows console close event; shutting log-core down
[12:21:00] [INFO] received Windows console close event; shutting log-core down
[12:22:49] [INFO] received Windows console close event; shutting log-core down
[17:52:16] [INFO] received Windows console close event; shutting log-core down
[17:57:16] [INFO] received Windows console close event; shutting log-core down
[17:57:19] [INFO] received Windows console close event; shutting log-core down
[17:57:53] [INFO] received Windows console close event; shutting log-core down
[18:05:31] [INFO] received Windows console close event; shutting log-core down
[18:08:24] [INFO] received Windows console close event; shutting log-core down
[18:08:32] [INFO] received Windows console close event; shutting log-core down
[18:12:47] [INFO] received Windows console close event; shutting log-core down
[18:21:24] [INFO] received Windows console close event; shutting log-core down
[18:49:04] [INFO] received Windows console close event; shutting log-core down
[18:53:00] [INFO] received Windows console close event; shutting log-core down
[18:56:13] [INFO] received Windows console close event; shutting log-core down
[19:01:11] [INFO] received Windows console close event; shutting log-core down
[19:08:00] [INFO] received Windows console close event; shutting log-core down
[19:09:45] [INFO] received Windows console close event; shutting log-core down
[19:14:29] [INFO] received Windows console close event; shutting log-core down
[19:16:45] [INFO] received Windows console close event; shutting log-core down
[19:18:54] [INFO] received Windows console close event; shutting log-core down
[19:22:01] [INFO] received Windows console close event; shutting log-core down
[21:54:57] [INFO] received Windows console close event; shutting log-core down
[22:04:16] [INFO] received Windows console close event; shutting log-core down
[23:09:29] [INFO] received Windows console close event; shutting log-core down
[23:11:59] [INFO] received Windows console close event; shutting log-core down
